ASV	subclade	sseqid	sacc	stitle	sscinames	staxids	sskingdoms	sblastnames	pident	slen	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
asv_0D3_00171	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.004	2234828	277	36	0	282	558	1881576	1881852	3.97e-88	338
asv_0D3_00612	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	84.477	2234828	277	43	0	282	558	1881576	1881852	2.35e-78	306
asv_0D3_00858	UC-A	gi|671752698|gb|CP003984.1|	CP003984	Planktomarina temperata RCA23, complete genome	N/A	666509	N/A	N/A	97.758	3288122	223	5	0	336	558	2870001	2869779	1.3e-100	380
asv_0D3_00959	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	84.477	2234828	277	43	0	282	558	1881576	1881852	2.35e-78	306
asv_0D3_00967	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	84.477	2234828	277	43	0	282	558	1881576	1881852	2.35e-78	306
asv_0D3_01026	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.004	2234828	277	36	0	282	558	1881576	1881852	3.97e-88	338
asv_0D3_01103	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.643	2234828	277	37	0	282	558	1881576	1881852	1.69e-86	334
asv_0D3_01114	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	85.921	2234828	277	39	0	282	558	1881576	1881852	8.74e-84	324
asv_0D3_01140	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	85.56	2234828	277	40	0	282	558	1881576	1881852	1.06e-82	320
asv_0D3_01219	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.643	2234828	277	37	0	282	558	1881576	1881852	1.69e-86	334
asv_0D3_01302	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.004	2234828	277	36	0	282	558	1881576	1881852	3.97e-88	338
asv_0D3_01308	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.365	2234828	277	35	0	282	558	1881576	1881852	3.26e-89	343
asv_0D3_01316	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.643	2234828	277	37	0	282	558	1881576	1881852	1.69e-86	334
asv_0D3_01317	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	85.199	2234828	277	41	0	282	558	1881576	1881852	4.53e-81	315
asv_0D3_01344	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	85.199	2234828	277	41	0	282	558	1881576	1881852	4.53e-81	315
asv_0D3_01375	II-WPC2	gi|595614635|gb|CP004371.1|	CP004371	Flammeovirgaceae bacterium 311, complete genome	N/A	1257021	N/A	N/A	67.764	6665617	577	163	4	5	558	2651148	2650572	5.91e-48	205
asv_0D3_01376	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	84.838	2234828	277	42	0	282	558	1881576	1881852	5.52e-80	311
asv_0D3_01394	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	86.643	2234828	277	37	0	282	558	1881576	1881852	1.69e-86	334
asv_0D3_01397	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	84.838	2234828	277	42	0	282	558	1881576	1881852	5.52e-80	311
asv_0D3_01398	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	81.041	2234828	269	51	0	15	283	1177496	1177228	3.72e-63	256
asv_0D3_01409	UC-A	gi|78167878|gb|CP000097.1|	CP000097	Synechococcus sp. CC9902, complete genome	N/A	316279	N/A	N/A	87.726	2234828	277	34	0	282	558	1881576	1881852	7.66e-91	347
